cole_area_ubicacion_urbano;cole_bilingue_si;cole_calendario;cole_caracter;cole_cod_depto_ubicacion;cole_genero;cole_jornada;estu_cod_depto_presentacion;estu_edad;estu_genero_m;estu_privado_libertad_si;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil_si;fami_tienecomputador_si;fami_tieneinternet_si;fami_tienelavadora_si;target
0;0;0.8645766230047957;0.8067425381146661;0.0;0.8930642044234486;0.5832080738672966;0.0;20.42;1;0;tres;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;1
0;1;0.8645766230047957;0.8067425381146661;0.0888888888888889;0.8930642044234486;0.5832080738672966;0.0888888888888889;20.07;0;0;tres;educación profesional completa;educación profesional completa;estrato 5;3 a 4;1;1;1;1;1
1;1;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.26;1;0;tres;técnica o tecnológica completa;secundaria (bachillerato) incompleta;estrato 6;3 a 4;1;1;1;1;1
0;1;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.06666666666666668;21.16;0;0;tres;educación profesional completa;no aplica;estrato 6;3 a 4;1;1;1;1;0
1;1;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.2;0;0;tres;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;18.32;0;0;tres;educación profesional completa;primaria incompleta;estrato 5;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;21.0;0;0;tres;educación profesional incompleta;educación profesional incompleta;estrato 6;3 a 4;1;1;1;1;1
1;0;0.10700737241428673;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.2903156538544127;0.06666666666666668;21.62;0;0;tres;secundaria (bachillerato) incompleta;secundaria (bachillerato) completa;estrato 4;3 a 4;0;1;1;1;0
0;1;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.06666666666666668;21.8;0;0;dos;educación profesional completa;postgrado;estrato 6;5 a 6;1;1;1;1;0
0;1;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.88;1;0;uno;educación profesional completa;educación profesional completa;estrato 6;3 a 4;1;1;1;1;1
0;1;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.2903156538544127;0.06666666666666668;21.39;1;0;tres;educación profesional completa;postgrado;estrato 4;3 a 4;1;1;1;1;1
0;1;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.2903156538544127;0.22222222222222224;21.52;1;0;tres;educación profesional completa;educación profesional completa;estrato 6;3 a 4;1;1;1;1;0
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.035287381003507264;0.5832080738672966;0.06666666666666668;21.3;1;0;tres;postgrado;educación profesional completa;estrato 6;3 a 4;1;1;1;1;1
1;1;0.8645766230047957;0.11509555507837664;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;19.6;1;0;dos;educación profesional completa;no sabe;estrato 4;1 a 2;1;1;1;1;1
0;0;0.8645766230047957;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.5832080738672966;0.06666666666666668;19.98;0;0;cinco;educación profesional completa;educación profesional completa;estrato 4;5 a 6;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.15555555555555556;0.8930642044234486;0.2903156538544127;0.15555555555555556;20.56;1;0;cuatro;postgrado;postgrado;estrato 6;3 a 4;1;1;1;1;0
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.3;1;0;tres;postgrado;postgrado;estrato 5;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;19.55;0;0;seis o mas;secundaria (bachillerato) incompleta;técnica o tecnológica completa;estrato 3;5 a 6;1;1;1;1;0
1;0;0.8645766230047957;0.11509555507837664;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;20.79;0;0;cuatro;educación profesional completa;no aplica;estrato 3;7 a 8;0;1;1;1;0
